Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
"Talent Acquisition Specialist, Human Resources",2025-11-25,https://jobright.ai/jobs/info/69265c2a27bf2f41a2c45947?utm_source=1100&utm_campaign=Human Resources,On Site,US-WI-Janesville,Mercyhealth Wisconsin and Illinois,5001-10000,"Health Care,Non Profit",$20.18-$29.27 /hr,1. High school diploma or equivalent.,not sure,
HR & Recruitment Coordinator,2025-11-25,https://jobright.ai/jobs/info/69265884d47de4798ecd6990?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
US-PA-Media
Lima Estates",Acts Retirement-Life Communities,5001-10000,"Charity,Communities",$23.69-$28.92 /hr,"1. High school education or equivalent
2. Proficient with or the ability to learn the Applicant Tracking System (ATS), onboarding applications, and Human Resources Information System (HRIS)",not sure,
HR Admin Assistant,2025-11-25,https://jobright.ai/jobs/info/6926585227bf2f41a2c4569d?utm_source=1100&utm_campaign=Human Resources,Remote,United States,NEW U THERAPY CENTER & FAMILY SERVICES,11-50,"Health Care,Medical",$4-$4 /hr,"1. 1-2 years of relevant experience
2. Excellent verbal and written communication skills for interacting with employees, candidates, and team members.
3. Strong organizational abilities to manage multiple tasks, maintain records, and manage schedules efficiently.
4. Proficiency in using Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) and familiarity with HR information systems (HRIS) or applicant tracking systems (ATS).",not sure,
Workplace Lead,2025-11-25,https://jobright.ai/jobs/info/692657aff0beb07232624276?utm_source=1100&utm_campaign=Human Resources,On Site,Chicago,Asana,1001-5000,"Collaboration,Enterprise Software",$85000-$95000 /yr,"1. A passion for managing an overall positive employee experience through ongoing operational support
2. Strong ability to manage competing priorities and projects
3. Strong interpersonal and communication skills, with the ability to build relationships across departments, work collaboratively, and manage conflict constructively
4. Strong coordination and collaboration skills – can both execute and delegate as needed
5. Strong ability to successfully prioritize and execute tasks/duties for yourself in alignment with the overall goals of both the day to day Chicago needs and the global Workplace team.
...",not sure,
"Workers’ Compensation Claim Adjuster – PEO & Staffing Accounts (Remote, CA Jurisdiction)",2025-11-25,https://jobright.ai/jobs/info/69265621f0beb07232624165?utm_source=1100&utm_campaign=Human Resources,Remote,US-CA-Irvine,CCMSI,1001-5000,"Financial Services,Insurance","$77,000-$87,000 /yr","1. Experience handling California workers’ compensation claims (basic adjusting experience acceptable)
2. Strong communication, organization, and documentation skills
3. Ability to work PST hours (M–F, 8:00 AM–4:30 PM)
4. Proficient in Microsoft Office (Word, Excel, Outlook)",no,
Activities Coordinator,2025-11-25,https://jobright.ai/jobs/info/69265573d47de4798ecd6795?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Ballston Spa, NY","Saratoga Bridges, NYSARC, Inc., Saratoga County Chapter",501-1000,"Family,Non Profit",$22.50-$22.50 /hr,"1. 1 year of experience working with people with developmental disabilities
2. Driver's license",not sure,
WFH Agency Supervisor,2025-11-25,https://jobright.ai/jobs/info/69265433f0beb07232624010?utm_source=1100&utm_campaign=Human Resources,Hybrid,United States,Globe Life,1001-5000,"Financial Services,Insurance",$100000-$100000 /yr,"1. Excellent verbal and written communication skills.
2. Proficiency in computer use and relevant software applications.
3. Strong organizational and time management skills.
4. Self-motivation and attention to detail.
5. Exceptional problem-solving skills and critical thinking abilities.
...",no,
Clinical Research Assistant,2025-11-25,https://jobright.ai/jobs/info/69265432f0beb0723262400d?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
St. Petersburg, FL
Delray Beach, FL
St. Petersburg, Florida, United States
Delray Beach, Florida, United States",Care Access,501-1000,"Clinical Trials,Health Care",$19-$38 /hr,"1. Ability and willingness to work independently with minimal supervision
2. Ability to learn to work in a fast-paced environment
3. Excellent communication skills and a high degree of professionalism with all types of people
4. Excellent organizational skills with strong attention to detail
5. A working knowledge of medical and research terminology
...",no,
Biingual Recruitment Coordinator,2025-11-25,https://jobright.ai/jobs/info/69265425f0beb07232624002?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Burnaby, British Columbia, Canada",Confidential Retail,51-100,,$47000-$52000 /yr,"1. 1-2 years of recruitment experience with a search firm or in-house recruiting and/or a combination of education and experience
2. Excellent communications skills in English & French
3. Excellent attention to detail and organizational skills
4. Proficiency in Microsoft Office platforms",not sure,
Assistant Case Manager (Case Aide)‐Visitation,2025-11-25,https://jobright.ai/jobs/info/69265180d47de4798ecd6535?utm_source=1100&utm_campaign=Human Resources,On Site,"Payson, UT",Arizona Department of Child Safety,501-1000,"Children,Government","$17.3484-$36,084.6700 /hr","1. High school diploma or GED
2. Valid Arizona issued driver’s license
3. Must be able to obtain and maintain a valid Arizona Department of Public Safety Level One Fingerprint Clearance Card
4. Selected candidates must be able to pass a background investigation and DCS Central Registry check
5. Employees who drive on state business are subject to driver license record checks
...",not sure,
