Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Business Systems Analyst - Support Services,2025-11-25,https://jobright.ai/jobs/info/692659a9f0beb07232624400?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Portland, OR
Boise, ID
Coeur d'Alene, ID
Salt Lake City, UT
Medford, OR
Lewiston, ID",Cambia Health Solutions,5001-10000,"Biotechnology,Health Care",$65000-$75000 /yr,"1. Bachelor’s degree in Mathematics, Business Administration, or related fields
2. One year experience in defining and analyzing business requirements, process modeling, functional systems design, or configuration and/or acceptance testing is desired
3. Experience with a business area that is supported by this position is required
4. Equivalent combination of education and experience
5. Business requirements
...",not sure,
"ADC Technical Customer Service Specialist , Amazon Dedicate Cloud (ADC) Customer Service",2025-11-25,https://jobright.ai/jobs/info/69265985d47de4798ecd69e3?utm_source=1100&utm_campaign=Software Engineering,On Site,"Herndon, Virginia, USA",Amazon,10000+,"Delivery,E-Commerce","$46,600-$104,200 /yr","1. Associate's degree or above, or A+ or Network+ or Security+
2. Current, active US Government Security Clearance of TS/SCI with Polygraph",no,
Junior Network Operations Engineer,2025-11-25,https://jobright.ai/jobs/info/692658b7f0beb07232624345?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Vultr,101-250,"Artificial Intelligence (AI),Cloud Computing",$55000-$65000 /yr,"1. Experience with network operations troubleshooting, planning and deployment of network changes.
2. A minimum of 1-2 years of experience with BGP based networks, including comprehensive experience with Internet scale routing tables, IRR’s, RIR’s, RPKI, routing policies, peering policies and architectures.
3. Understanding of technologies and protocols such as VxLAN, EVPN.
4. Understanding of networking in the cloud including VPC’s, NFV, Direct Connect, and IPsec.
5. Skilled with documenting the troubleshooting processes for repetitive tasks.
...",not sure,
"Software Engineer, Interoperability",2025-11-25,https://jobright.ai/jobs/info/692658af27bf2f41a2c456d2?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Mateo, CA, United States",Roblox,1001-5000,"3D Technology,Gaming","$153,120-$192,890 /yr","1. 1-3 years of experience developing a wide-array of software products
2. An undergraduate/graduate degree in computer science, engineering or a related field.
3. Proficiency in one or more programming languages such as Lua or C++",no,
Software Engineer (New Grads 2025-2026),2025-11-25,https://jobright.ai/jobs/info/6926587df0beb07232624319?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
New York, NY
New York City",EliseAI,251-500,"Artificial Intelligence (AI),Business Intelligence","$100,000-$180,000 /yr","1. Graduating with a Bachelors degree in Winter 2025 - Spring 2026
2. Degree in Computer Science or a related field
3. Someone who is excited to work hard at a fast-growing startup, and has a strong bias for action
4. Willingness to work in person at our office 5 days a week",not sure,yes
Cloud Cybersecurity Engineer - GCP Specialist,2025-11-25,https://jobright.ai/jobs/info/69265860f0beb07232624303?utm_source=1100&utm_campaign=Software Engineering,On Site,US-TX-Austin,Charles Schwab,,,$140000-$145000 /yr,"1. Bachelor’s degree in computer science or related field.
2. 1-5 years' experience managing security controls with GCP.
3. 1-5 years' experience managing security controls in any other cloud environments is a plus.
4. 1-3 years database administration experience is also a plus.
5. Knowledge to spot and implement new security technologies and standard methodologies into the company’s cloud offerings.
...",not sure,
Product Solutions Analyst | Housing,2025-11-25,https://jobright.ai/jobs/info/692657bed47de4798ecd693b?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
New York, NY
San Francisco, CA",EliseAI,251-500,"Artificial Intelligence (AI),Business Intelligence",$60000-$75000 /yr,"1. 1-3 years in a Customer Support Analyst or equivalent role
2. Experience with support software and CRMs (e.g., Zendesk, Salesforce, SQL Knowledge is a plus)
3. Demonstrated technical proficiency such as a computer science degree, bootcamp certificate, or previous work experience
4. Bias towards data-driven decision-making and analytical skills
5. Strong written and verbal communication skills
...",not sure,
Quality Assurance Associate,2025-11-25,https://jobright.ai/jobs/info/692656dcd47de4798ecd688e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Earth City, Missouri, United States","Credit Control, LLC.",251-500,Financial Services,$16-$18 /hr,"1. Strong listening skills and attention to detail
2. Comfortable working with evaluation forms, checklists, and scoring criteria.
3. Basic proficiency with Microsoft Word and Excel.
4. Good written communication skills.
5. High school diploma or equivalent required",not sure,
Services Consultant,2025-11-25,https://jobright.ai/jobs/info/692656c7d47de4798ecd6888?utm_source=1100&utm_campaign=Software Engineering,Remote,"Toronto, Ontario, Canada",Actionstep,101-250,"Information Technology,Legal",CAD70000-CAD85000 /yr,"1. Experience in software implementation, professional services, or consulting; SaaS or legal technology experience is an advantage.
2. Ability to quickly develop strong product knowledge and act as a trusted advisor in implementation and configuration best practices.
3. Strong communication, facilitation, and problem-solving skills.
4. Ability to work effectively with both internal teams and external partners.
5. Organizational skills with the ability to manage multiple priorities and engagements.
...",not sure,
Help Desk Support Specialist II,2025-11-25,https://jobright.ai/jobs/info/6926567f27bf2f41a2c45567?utm_source=1100&utm_campaign=Software Engineering,On Site,United States,"Chickasaw Nation Industries, Inc.",501-1000,"Business Development,Commercial",$21-$28 /hr,"1. Knowledge and understanding of the tools, concepts, practices and procedures related to an IT help desk user support environment.
2. Working knowledge utilizing service desk software tools and applications.
3. Experience capturing and documenting business requirement, and process workflow improvements.
4. Experience translating tickets into SOP guides and identifying training needs for user communities.
5. Knowledgeable and skilled in the use of ticketing systems with ability to clearly and concisely log tickets.
...",not sure,
Enterprise Quality Assurance Analyst I,2025-11-25,https://jobright.ai/jobs/info/6926566c27bf2f41a2c4555e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Richland, WA",Gesa Credit Union,501-1000,"Credit,Financial Services","$64,520.95-$96,781.42 /yr","1. Bachelor’s Degree, preferably in Business, Information Systems, Computer Science, or related field.
2. 1-4 years of Quality Assurance or 3+ years equivalent experience within the financial services industry in an enterprise quality or software testing function.
3. Strong knowledge of the software and system development lifecycle (SDLC).
4. Familiarity with the Project Management Lifecycle.
5. Proficient with Software Development/testing tools: Azure Dev Ops, Jira/Confluence, Rally, etc. required.
...",not sure,
Information Technology Associate,2025-11-25,https://jobright.ai/jobs/info/69265630d47de4798ecd6803?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Sacramento, CA",CalRecycle,501-1000,"Environmental Consulting,Environmental Engineering","$4,935-$8,740 /mon","1. When submitting application in hard copy, applicants are required to submit a standard state application (Form Std.678) with an original signature, and clearly indicate RPA 25-104 & Position # 835-181-1401-003 in the 'Job Title(s)' section of the Standard State Application or you will not be considered for the position.
2. If you would like to use education in conjunction with experience to satisfy the minimum qualifications, you must attach a copy of your degree and/or transcripts (unofficial or official) to your application to ensure the educational requirements have been met for this position. Failure to do so will result in your application being rejected.
3. Applicant must be able to able to lift and carry objects at weight of at least 30 lbs, push a work cart of IT equipment independently, and travel independently to setup computer equipment with or without a reasonable accommodation.
4. Applicants must submit a resume and a Statement of Qualifications (SOQ) for the hiring manager's review. For the resume, please refrain from submitting more than 2 pages.
5. Complete Application Packages (including your Examination/Employment Application (STD 678) and applicable or required documents) must be submitted to apply for this Job Posting.
...",not sure,
Quality Assurance Specialist,2025-11-25,https://jobright.ai/jobs/info/6926560bf0beb07232624158?utm_source=1100&utm_campaign=Software Engineering,On Site,"Eunice, NM",Urenco Global,1001-5000,,$89K-$118K /yr,"1. Certification or ability to certify as a NQA-1 Lead Auditor, QA Inspector, NDE Inspector
2. Bachelor’s degree with 1-3 years of commensurate experience
3. Associate's degree with 3–5 years of commensurate experience
4. 10 years of commensurate experience without a degree
5. Strong written and oral communications
...",no,
Software Engineer (Simulation),2025-11-25,https://jobright.ai/jobs/info/692655d3f0beb07232624131?utm_source=1100&utm_campaign=Software Engineering,Hybrid,Orlando Florida,Lockheed Martin,10000+,"Aerospace,Cyber Security",$76500-$134895 /yr,"1. Bachelor’s degree and 1 or more years of software engineering experience.
2. Experience with C/C++ for real time or safety critical systems.
3. Proficiency with scripting languages such as Bash, Python, or Perl.
4. Proven experience using Git (branching, merging, pull request workflow) and GitLab for source code management, pipeline creation, and CI/CD of builds and automated tests.
5. Ability to produce detailed specifications, design documents, and test documentation.
...",no,
Project Manager - Technology,2025-11-25,https://jobright.ai/jobs/info/6926541ed47de4798ecd66a7?utm_source=1100&utm_campaign=Software Engineering,Remote,"Anchorage, AK, US",Tepa Companies,251-500,"Construction,Environmental Consulting",$110000-$130000 /yr,"1. Bachelor’s Degree in GIS, Geography, Engineering, Information Technology, or related field
2. Ability to obtain a security clearance, Transportation Working Identification Card(TWIC) or similar, which typically requires proof of U.S. Citizenship and a background check
3. 1-3 years of successful experience working as a technical Project Manager in a technology consulting organization
4. Demonstrated success managing multiple projects simultaneously
5. History of successful interaction with people of widely varying technical knowledge, such as IT administrators, end users, managers, and decision makers
...",not sure,
"Analyst, Advanced Business Analytics",2025-11-25,https://jobright.ai/jobs/info/69265400d47de4798ecd6696?utm_source=1100&utm_campaign=Software Engineering,On Site,"Charlotte, NC",Ally,10000+,"Automotive,Finance",$65000-$115000 /yr,"1. 1+ years of data analysis or querying databases required
2. Strong technical abilities in SQL required
3. Strong technical abilities leveraging relational databases in SQL required
4. Ability to perform in a fast-paced environment, with competing priorities and changing requirements
5. Ability to manage multiple projects at once
...",no,
Associate Solutions Engineer | Housing,2025-11-25,https://jobright.ai/jobs/info/692653aff0beb07232623fbc?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Francisco, CA",EliseAI,251-500,"Artificial Intelligence (AI),Business Intelligence",$80K-$120K /yr,"1. Bachelor's degree in Computer Science or equivalent field
2. 1-3 years of experience in similar role or field
3. Experience with support software and CRMs (e.g., Zendesk, Salesforce) is a plus
4. Demonstrated technical proficiency such as a computer science degree, bootcamp certificate, or previous work experience
5. Bias towards data-driven decision-making and analytical skills
...",not sure,
Front End Software Engineer I,2025-11-25,https://jobright.ai/jobs/info/692652f0d47de4798ecd65e3?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Denver, CO or Long Beach, CA",True Anomaly,101-250,"Aerospace,Artificial Intelligence (AI)",$90000-$110000 /yr,"1. 0 - 2 Years of software development experience
2. Understanding of HTML/CSS and modern TypeScript/JavaScript
3. Familiarity with modern React (Hooks, Context API, functional component patterns)
4. Exposure to testing frameworks like Jest, Vitest and React Testing Library
5. Familiarity with component libraries, design systems, Storybook and CSS-in-JS
...",no,yes
Solutions Engineer - Healthcare & Life Sciences (East),2025-11-25,https://jobright.ai/jobs/info/692652e1f0beb07232623f2c?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Talkdesk,1001-5000,"Artificial Intelligence (AI),Cloud Computing","$144,000-$235,000 /yr","1. B.S. Computer Science, Software Engineering, MIS or equivalent work experience.
2. 1-3 years as a Solutions Engineer in Software, VOIP/Telecommunications, contact centers, premise or cloud selling to Commercial or Enterprise customers.
3. Ability to command the attention in a room by delivering compelling presentations and demonstrations.
4. Good problem solving skills, including the ability to meet a business requirement with a technical solution.
5. Ability to communicate complex technical concepts to both technical and non-technical audiences.
...",not sure,
Data Center Technician - Muskogee,2025-11-25,https://jobright.ai/jobs/info/69265215d47de4798ecd657d?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Muskogee, OK",CoreWeave,501-1000,"Artificial Intelligence (AI),Cloud Computing",$65000-$85000 /yr,"1. Computer Hardware experience (troubleshooting, assembling)
2. Linux Operating System experience
3. All physical requirements are expected with reasonable accommodations
4. Candidates should be able to lift up to 50 lbs and/or work in elevated locations
5. Ability to work in an environment that operates 24/7 with an ability to participate in on-call rotation and provide after-hours support as needed
...",no,
Associate Solutions Engineer | Housing,2025-11-25,https://jobright.ai/jobs/info/6926519cf0beb07232623e8a?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, NY",EliseAI,251-500,"Artificial Intelligence (AI),Business Intelligence",$80000-$120000 /yr,"1. Bachelor's degree in Computer Science or equivalent field
2. 1-3 years of experience in similar role or field
3. Experience with support software and CRMs (e.g., Zendesk, Salesforce) is a plus
4. Demonstrated technical proficiency such as a computer science degree, bootcamp certificate, or previous work experience
5. Bias towards data-driven decision-making and analytical skills
...",not sure,
Information Security Analyst - Associate,2025-11-25,https://jobright.ai/jobs/info/6926517e27bf2f41a2c453ef?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Jacksonville, FL",Deutsche Bank,10000+,"Banking,Finance",$60000-$86000 /yr,"1. Bachelor's degree or equivalent required
2. Previous experience in a similar position, or background on incident management, or SOC related roles
3. Familiar with the MITTRE ATT&CK framework as well as CISSP, CISM, GCIH or other relevant certifications in the field
4. Knowledge of industry standards and best practices for data protection
5. Reasonable understanding/background with Security Incident and Event Management (SIEM) systems, and detection tools, ideally on Splunk, McAfee, Symantec, Microsoft Sentinel & Purview",not sure,
Services Consultant,2025-11-25,https://jobright.ai/jobs/info/69264c0a27bf2f41a2c45170?utm_source=1100&utm_campaign=Software Engineering,Remote,"Denver, CO",Actionstep,101-250,"Information Technology,Legal",,"1. Experience in software implementation, professional services, or consulting; SaaS or legal technology experience is an advantage.
2. Ability to quickly develop strong product knowledge and act as a trusted advisor in implementation and configuration best practices.
3. Strong communication, facilitation, and problem-solving skills.
4. Ability to work effectively with both internal teams and external partners.
5. Organizational skills with the ability to manage multiple priorities and engagements.
...",not sure,
IT Technician,2025-11-25,https://jobright.ai/jobs/info/69264a7af0beb07232623c4e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Lenexa, KS",JCPenney,10000+,"E-Commerce,Fashion",$22.31-$27.88 /hr,"1. Technical Institute/Associate Degree in Computer Information Systems or related subject matter; equivalent formal training
2. Proficient aptitude for logical thinking and analytical processing
3. Strong communication skills, written and verbal
4. Strong partnering and teamwork skills
5. Customer focused
...",not sure,
